Couleur;Code;RGBA
Vert-Collibri-15g;#9CBFBB;rgba(156, 191, 187, 1.0)
Vert-Pistache-1g;#BDBDB7;rgba(189, 189, 183, 1.0)
Vert-Pistache-3g;#B2B7AE;rgba(178, 183, 174, 1.0)
Vert-Turquoise-1g;#CFCFCF;rgba(207, 207, 207, 1.0)
Vert-Turquoise-3g;#C2C6C7;rgba(194, 198, 199, 1.0)
Vert-Turquoise-7g;#C2CBCA;rgba(194, 203, 202, 1.0)
Vert-Turquoise-15g;#B0C1BE;rgba(176, 193, 190, 1.0)
Gris-Anthracite-12g;#BCB9BC;rgba(188, 185, 188, 1.0)
Jaune-Citron-7g;#D4C6A7;rgba(212, 198, 167, 1.0)
Orange-960-7g;#BD6032;rgba(189, 96, 50, 1.0)
Rouge-130-3g;#D5695A;rgba(213, 105, 90, 1.0)
Bleu Monte carlo 12g - Noir 318 0,5g;#4986A5;rgba(73, 134, 165, 1.0)
Jaune Citron 12g Gris Anthracite 4g;#A1A28F;rgba(161, 162, 143, 1.0)
Bleu Charrette 12g Rouge 130 s;#938589;rgba(147, 133, 137, 1.0)
Terre verte de Niçoisie 12g Gris anthracite 4g;#8697A1;rgba(134, 151, 161, 1.0)
Bleu khossoghol 12g Noir 318 0,5g;#366A9C;rgba(54, 106, 156, 1.0)
Terre verte de Niçoisie 15g Bleu kossoghol 3g;#7599A5;rgba(117, 153, 165, 1.0)
Terre verte de Bren 9g Bleu Kossoghol 4g;#7D8E98;rgba(125, 142, 152, 1.0)
Bleu Indien 12g Noir 318 0,5g;#848D8C;rgba(132, 141, 140, 1.0)
Terre Jaune D’italie 15g bleu Indien 6g;#A69A72;rgba(166, 154, 114, 1.0)
